,Lyric,Number_of_words
357,"I've had enough of danger. And people on the streets. I'm looking out for angels. Just trying to find some peace. Now I think it's time. That you let me know. So if you love me. Say you love me. But if you don't. Just let me go. Cause teacher. There are things that I don't want to learn. And the last one I had. Made me cry. So I don't want to learn to. Hold you, touch you. Think that you're mine. Because there ain't no joy. For an uptown boy. Whose teacher has told him goodbye. Goodbye. Goodbye. When you were just a stranger. And I was at your feet. I didn't feel the danger. Now I feel the heat. That look in your eyes. Telling me no. So you think that you love me. Know that you need me. I wrote the song, I know it's wrong. Just let me go. And teacher. There are things. That I don't want to learn. Oh the last one I had. Made me cry. So I don't want to learn to. Hold you, touch you. Think that you're mine. Because there ain't no joy. For an uptown boy. Whose teacher has told him goodbye. Goodbye. Goodbye. So when you say that you need me. That you'll never leave me. I know you're wrong, you're not that strong. Let me go. And teacher. There are things. That I still have to learn. But the one thing I have is my pride. Oh so I don't want to learn to. Hold you, touch you. Think that you're mine. Because there ain't no joy. For an uptown boy. Who just isn't willing to try. I'm so cold. Inside. Maybe just one more try",290
358,"That's all I wanted. Something special, something sacred. In your eyes. For just one moment. To be bold and naked. At your side. Sometimes I think that you'll never. Understand me. Maybe this time is forever. Say it can be. That's all you wanted. Something special, someone sacred. In your life. Just for one moment. To be warm and naked. At my side. Sometimes I think that you'll never. Understand me. But something tells me together. We'd be happy. (Baby). I will be your father figure. (Oh baby). Put your tiny hand in mine. (I'd love to). I will be your preacher teacher. (Be your daddy). Anything you have in mind. (It would make me). I will be your father figure. (Very happy). I have had enough of crime. (Please let me). I will be the one who loves you. Until the end of time. That's all I wanted. But sometimes love can be mistaken. For a crime. That's all I wanted. Just to see my baby's. Blue eyed shine. This time I think that my lover. Understands me. If we have faith in each other. Then we can be. Strong. I will be your father figure. Put your tiny hand in mine. I will be your preacher teacher. Anything you have in mind. I will be your father figure. I have had enough of crime. I will be the one who loves you. Until the end of time. If you are the desert. I'll be the sea. If you ever hunger. Hunger for me. Whatever you ask for. That's what I'll be. So when you remember the ones who have lied. Who said that they cared. But then laughed as you cried. Beautiful Darling. Don't think of me. Because all I ever wanted. It's in your eyes baby, baby. And love can't lie, no.... (Greet me with the eyes of a child). My love is always tell me to.... (Heaven is a kiss and a smile). Just hold on, hold on. I won't let you go, my baby. I will be your father figure. Put your tiny hand in mine. I will be your preacher teacher. Anything you have in mind. I will be your father figure. I have had enough of crime. (So I am gonna love you). Until the end of time. I will be your father. I will be your preacher. I will be your daddy. I will be the one who loves you until the end of time",413
359,Let me tell you a secret. Put it in your heart and keep it. There's something that I want you to know. Do something for me. Listen to my simple story. And maybe we'll have someting to show. You tell me you're cold on the inside. How can the outside world. Be a place that your heart can embrace. Be good to yourself. Because nobody else. Has the power to make you happy. How can I help you?. Please let me try to. I can heal the pain. That you're feeling inside. Whenever you want me. You know that I will be. Waiting for the day. That you say you'll be mine. He must have really hurt you. To make you say the things that you do. He must have really hurt you. To make those pretty eyes look so blue. He must have known. That he could. That you'd never leave him. Now you can't see my love is good. And that I'm not him. How can I help you?. Please let me try to. I can heal the pain. Won't you let me inside. Whenever you want me. You know that I will be. Waiting for the day. That you say you'll be mine. Won't you let me in. Let this love begin. Won't you show me your heart now. I'll be good to you. I can make this thing true. Show me the heart right now. Who needs a lover. That can't be a friend. Something tells me I'm the one you've been looking for. If you ever should see him again. Won't you tell him you've found someone who gives you more. Someone who will protect you. Love and respect you. All those things. That he never could bring to you. Like I do. Or rather I would. Won't you show me your heart. Like you should. How can I help you?. Please let me try to. I can heal the pain. Won't you let me inside. Whenever you want me. You know that I will be. Waiting for the day. That you say you'll be mine. Won't you let me in. Let this love begin. Won't you show me your heart now. I'll be good to you. I can make this thing true. And get to your heart somehow,384
360,"I can't light no more of your darkness. All my pictures seem to fade to black and white. I'm growing tired and time stands still before me. Frozen here on the ladder of my life. It's much too late to save myself from falling. I took a chance and changed your way of life. But you misread my meaning when I met you. Closed the door and left me blinded by the light. Don't let the sun go down on me. Although I search myself, it's always someone else I see. I'd just allow a fragment of your life to wander free. But losing everything is like the sun going down on me. I can't find, oh the right romantic line. But see me once and see the way I feel. Don't discard me just because you think I mean you harm. But these cuts I have. They need love to help them heal. Don't let the sun go down on me. Although I search myself, it's always someone else I see. I'd just allow a fragment of your life to wander free. Cos losing everything is like the sun going down on me. Don't let the sun go down on me. Although I search myself, it's always someone else that I see. I'd just allow a fragment of your life to wander free, baby. Cos losing everything is like the sun going down on me",236
361,"Well, I guess it would be nice. If I could touch your body. I know not everybody. Has got a body like you.. Oh, but I gotta think twice. Before I give my heart away. And I know all the games you play. Because I play them, too.. Oh, but I need some time off from that emotion,. Time to pick my heart up off the floor.. And when that love comes down without devotion,. Well, it takes a strong man baby, but I'm. Showing you the door,. Cause I gotta have Faith. I gotta have... Faith. Yes, I've gotta have Faith, Faith, Faith. I gotta have Faith, Faith, Faith.. Baby, I know you're asking me to stay. Saying please, please, please don't go away. You say I'm giving you the blues.. Maybe you mean every word you say. Can't help but think of yesterday. And another who tied me down to loverboy rules. Before this river becomes an ocean. Before you throw my heart back on the floor. Oh baby, I reconsider my foolish notion. Well, I need someone to hold me,. But I'll wait for something more.. Cause I gotta have Faith.... (repeat chorus). Before this river. Becomes an ocean. Before you throw my heart back on the floor. (I've just got to have faith). I've reconsidered my foolish notion. Yeah, I need someone to hold me,. But I'll wait for something more..... (pause). Cause I gotta have Faith. (final chorus)",243
362,"You are far. When I could have been your star. You listened to people. Who scared you to death, and from my heart. Strange that you were strong enough. To even make a start. But you'll never find. Peace of mind. Till you listen to your heart. People. You can never change the way they feel. Better let them do just what they want. For they will. If you let them. Steal your heart from you. People. Will always make a lover feel a fool. But you knew I loved you. We could have shown them all. We should have seen love through. Fooled me with the tears in your eyes. Covered me with kisses and lies. So goodbye. But please don't take my heart. You are far. But I'm never gonna be your star. I'll pick up the pieces. And mend my heart. Maybe I'll be strong enough. I don't know where to start. But I'll never find. Peace of mind. While I listen to my heart. People.... You can never change the way they feel. Better let them do just what they want. For they will. If you let them. Steal your heart from you. People. Will always make a lover feel a fool. But you knew I loved you. We could have shown them all. We should have seen love through. But remember this. Every other kiss. That you ever give. Long as we both live. When you need the hand of another man. One you really can surrender with. I will wait for you. Like I always do. There's something there. That can't compare with any other. You are far. When I could have been your star. You listened to people. Who scared you to death, and from my heart. Strange that I was wrong enough. To think you'd love me too. I guess you were kissing a fool. You must have been kissing a fool",320
363,"These are the days of the open hand. They will not be the last. Look around now. These are the days of the beggars and the choosers. This is the year of the hungry man. Whose place is in the past. Hand in hand with ignorance. And legitimate excuses. The rich declare themselves poor. And most of us are not sure. If we have too much. But we'll take our chances. Because god's stopped keeping score. I guess somewhere along the way. He must have let us all out to play. Turned his back and all god's children. Crept out the back door. And it's hard to love, there's so much to hate. Hanging on to hope. When there is no hope to speak of. And the wounded skies above say it's much too late. Well maybe we should all be praying for time. These are the days of the empty hand. Oh you hold on to what you can. And charity is a coat you wear twice a year. This is the year of the guilty man. Your television takes a stand. And you find that what was over there. Is over here. So you scream from behind your door. Say ""what's mine is mine and not yours"". I may have too much but I'll take my chances. Because god's stopped keeping score. And you cling to the things they sold you. Did you cover your eyes when they told you. That he can't come back. Because he has no children to come back for. It's hard to love, there's so much to hate",265
364,"Kindness in your eyes. I guess you heard me cry. You smiled at me like Jesus to a child. I'm blessed I know. Heaven sent and heaven stole. You smiled at me like Jesus to a child. And what have I learned from all this pain. I thought I never feel the same about anyone or anything again. But now I know. :. When you find a love. When you know that it exists. Then the lover that you miss. Will come to you on those cold, cold nights. When you've been loved. When you know it holds such bliss. Then the lover that you kissed. Will comfort you when there's no hope in sight. Sadness in my eyes. No one guessed and no one tried. You smiled at me like Jesus to a child. Loveless and cold. With your last breath you saved my soul. You smiled at me like Jesus to a child. And what have I learned from all these tears. I've waited for you all those years. Then just when it began he took your love away. But I still say. . So the words you could not say. I'll sing them for you. And the love we would have made. I'll make it for two. For every single memory. Has become a part of me. You will always be my love. Well I've been loved so I know just what love is. And the lover that I kissed is always by my side. Oh the lover I still miss... was Jesus to a child",259
365,As around the sun the Earth knows. She's revolving. And the rosebuds know to bloom. In early May. Just as hate knows love's the cure. You can rest your mind assure. That I'll be loving you always. As now can't reveal. The mystery of tomorrow. But in passing. Will grow older every day. Just as all is born is new. You know what I say is true. That I'll be loving you always. . Until the rainbow burns. The stars out of the sky. Until the ocean covers. Every mountain high. Until the day that. Eight times eight times eight is four. Until the day that is the day. That are no more. Did you know that true love. Asks for nothing. Her acceptance is the way we pay. Did you know that life. Has given love a guarantee. To last through forever. And another day. As today I know I'm living for tomorrow. Could make me the past. But that I mustn't fear. Cause you're here. Now I know deep in my mind. The love of me I've felt behind. And I'll be loving you always. Until the rainbow burns. The stars out in the sky. Until the ocean covers. Every mountain high. Until the dolphin fly. And parrots live at sea. Until we dream of life. And life becomes a dream. (now ain't that loving you?). Until the day is night. And night becomes the day. Until the trees and seas. Just up and fly away. Until the day that. Eight times eight times eight is four. Until the day that is the day. That are no more. Did you know that true love. Asks for nothing. Her acceptance is the way we pay. Did you know that life. Has given love a guarantee. To last forever. And another day. As around the sun. The Earth knows she's revolving. And the rosebuds know. To bloom in early May. Now I know deep in my mind. The love of me I've left behind. And I'll be loving you always. Until the rainbow burns. The stars out in the sky. Until the ocean covers. Every mountain high. Until the dolphin fly. And parrots live at sea. Until we dream of life. And life becomes a dream. (now ain't that loving you?). Until the day is night. And night becomes the day. Until the trees and seas. Just up and fly away. Until the day that. Eight times eight times eight is four. Until the day that is the day. That are no more,423
366,"tonight. Do we have to fight again. Tonight?. I just want to go to sleep. Turn out the light. But you want to carry grudges. Oh, nine times out of ten. Oh, I see the storm approaching. Long before the rain starts falling. Tonight. Does it have to be the old thing. Tonight?. Oh, it's late, too late. To chase the rainbow that you're after. I'd like to find a compromise. Oh, and place it in your hands. My eyes are blind, my ears can't hear. Oh, and I cannot find the time. Tonight. Just let the curtains close in silence. Tonight. Why not approach with less defiance. The man who'd love to see you smile. Who'd love to see you smile. Tonight. Tonight. Just let the curtains close in silence. Tonight. Why not approach with less defiance. The man who'd love to see your smile. The man who'd love to see your smile. The man who'd love to see your smile. Tonight",163
367,"Looking for some education. Made my way into the night. All that bullshit conversation. Well, baby, can't you read the signs?. I won't bore you with the details baby. I don't even want to waste your time. Let's just say that maybe. You could help to ease my mind. Baby, I aint Mr.Right. But if your looking for fastlove. If that's love in your eyes. It's more than enough. Had some bad luck. So fastlove, is all that I've got on my mind. What's there to think about baby?. Looking for some affirmation. Made my way into the sun. My friends got their ladies,. They're all having babies. But I just want to have some fun. I won't bore you with the details baby. Got to get there in your own sweet time. Let's just say that maybe. You could help to ease my mind. Baby, I aint Mr.Right. . What's there to think about baby?. Get yourself some lessons in love. In the absence of security. I made my way into the night. Stupid cupid keeps on calling me. But I see nothing in his eyes. I miss my baby. I miss my baby, oh yeah, tonight. So, why don't we make a little room. In my Bmw babe. Searching for some peace of mind. Hey I'll help you find it. I do believe that we are practicing. The same religion. You really ought to get up now. Looking for some affirmation?",243
368,"Turn down the lights, turn down the bed. Turn down these voices inside my head. Lay down with me, tell me no lies. Just hold me close, don't patronize. Don't patronize me. 'Cause I can't make you love me If you don't. You can't make your heart feel something it won't. Here in the dark in these final hours. I will lay down my heart, and I'll feel the power. But you won't, no you won't. And I can't make you love me. If you don't. I'll close my eyes and then I won't see. The love you do not feel, when you're holding me. Morning will come, and I'll do what's right. Just give me till then, to give up this fight. And I will give up this fight. And I can't make you love me if you don't. You can't make your heart feel something it won't. And here in the dark in these final hours. I will lay down my heart and I'll feel the power. But you won't, no, you won't. And I can't make you love me. If you don't. Ain't no use in you trying. It's no good for me baby without love. All my tears, all these years, everything I believed in. Baby. Oh yeah. Someone's gonna love me.",216
369,"IÃ¥Â«D SAY LOVE WAS A MAGICAL THING. IÃ¥Â«D SAY LOVE WOULD KEEP US FROM PAIN. HAD I BEEN THERE. HAD I BEEN THERE. I WOULD PROMISE YOU ALL OF MY LIFE. BUT TO LOSE YOU WOULD CUT LIKE A KNIFE. SO I DONÃ¥Â«T DARE. NO I DONÃ¥Â«T DARE. Ã¥Â«CAUSE IÃ¥Â«VE NEVER COME CLOSE. IN ALL OF THESE YEARS. YOU ARE THE ONLY ONE TO STOP MY TEARS. AND IÃ¥Â«M SO SCARED. IÃ¥Â«M SO SCARED. TAKE ME BACK IN TIME. MAYBE I CAN FORGET. TURN A DIFFERENT CORNER. AND WE NEVER WOULD HAVE MET. WOULD YOU CARE?. I DONÃ¥Â«T UNDERSTAND IT. FOR YOU ITÃ¥Â«S A BREEZE. LITTLE BY LITTLE. YOUÃ¥Â«VE BROUGHT ME TO MY KNEES. DONÃ¥Â«T YOU CARE?. NO IÃ¥Â«VE NEVER COME CLOSE. IN ALL OF THESE YEARS. YOU ARE THE ONLY ONE TO STOP MY TEARS. IÃ¥Â«M SO SCARED OF THIS LOVE. AND IF ALL THAT THERE IS. IS THIS FEAR OF BEING USED. I SHOULD GO BACK TO BEING LONELY AND CONFUSED. IF I COULD, I WOULD, I SWEAR.",170
370,"She takes the back road and the lane. Past the school that has no changed. In all this time. She thinks of when the boy was young. All the battles she had won. Just to give him life. That man. She loved that man. For all his life. But now we meet to bring him flowers. And only God knows why. For what's the use in pressing pamls. When children fade in mother's arms. It's a cruel world. We've so much to loose. And what we have to learn we rarely choose. So if it's God who took her son. He cannot be the one living in her mind. Take care my love, she said. Don't think that God is dead. Take care my love, she said. You have been loved. If I was weak, forgive me. But I was terrified. You brushed my eyes with angels wings, full of love. The kind that makes devils cry. So these days. My life has changed. And I'll be fine. But she just sits and counts the hours. Searching for her crime. So what's the use of pressing palms. If you won't keep such love from harm. It's a cruel world. You've so much to prove. And heaven helps the ones who wait for you. Well I've no daughters, I've no sons. Guess I'm the only one. Living in my life. Take care my love, he said. Don't think that God is dead. Take care my love, he said. You have been loved...",251
371,(Piano intro). When your heart`s in someone else`s hands. Monkey see and monkey do. Their wish is your command. You`re not to blame. Everyone`s the same. All you do is love and love is all you do. I should know by now the way I fought for you. You`re not to blame. Everyone`s the same. I know you think that you`re safe. Mister. Harmless deception that keeps love at bay. It`s the ones who resist that we most want to kiss. Wouldn`t you say?. Cowboys and angels. They all have the time for you. Why should I imagine. That I`d be a find for you. Why should I imagine. That I`d have something to say. But that scar on your face. That beautiful face of yours. In your heart there`s a trace. Of someone before. When your heart`s in someone else`s plans. Things you say and things you do. They don`t understand. It`s such a shame. Always ends the same. You can call it love but I don`t think it`s true. You should know by now. I`m not the boy for you. You`re not to blame. Always ends the same. I know you think that you`re safe. Sister. Harmless affection that keeps things this way. It`s the ones who persist for the sake of a kiss. Who will pay. Cowboys and angels. They all take a shine to you. Why should I imagine. That I was designed for you. Why should I believe. That you would stay. But that scar on your face. That beautiful face of yours. Don`t you think that I know. They hurt you before. Take this man to your bed. Maybe his hands. Will help you forget. Please be stronger than your past. The future may still give you a chance,295
372,"Last Christmas. CHORUS:. Last Christmas. I gave you my heart. But the very next day you gave it away. This year. To save me from tears. I'll give it to someone special. CHORUS. Once bitten and twice shy. I keep my distance. But you still catch my eye. Tell me baby. Do you recognize me?. Well. It's been a year. It doesn't surprise me. HAPPY CHRISTMAS. I wrapped it up and sent it. With a note saying ""I love you"". I meant it. Now I know what a fool I've been. But if you kissed me now. I know you'd fool me again. CHORUS. Crowded room. Runs with tired eyes. I'm hiding from you. And your solemn eyes. My god I thought you were. Someone to rely on. Me?. I guess I was a shoulder to cry on. A face on a lover with a fire in his heart. A man undercover but you tore me apart. Now I've found a real love you'll never fool me again. CHORUS 2x. A face on a lover with a fire in his heart. A man undercover but you tore him apart. Maybe next year I'll give it to someone.",197
373,"So every day I see you in some other face. They crack a smile, talk a while. Try to take your place. My memory serves me far too well. I just sit here on this mountain thinking to myself. You're a fool boy. Why don't you go down. Find somebody. Find somebody else. My memory serves me far too well. It's not as though we just broke up. It's not as though it was yesterday. But something I just can't explain. Something in me needs this pain. I know I'll never see your face again. C'mon now. I've got to be strong now. Now everybody's talking about this new decade. Like you say the magic numbers. Then just say goodbye to. The stupid mistakes you made. Oh my memory serves me far too well. Don't you know that. The years will come and go. Some of us will change our lives. Some of us still have nothing to show. Nothing baby. But memories. And if these wounds. They are self-inflicted. I don't really know. How my poor heart could have protected me. But if I have to carry this pain. If you will not share the blame. I deserve to see your face again. C'mon now. You don't have to be so strong now. Come back. Come back to me darling. I will make it worth your while. Come back to your baby. I miss your kiss. I miss your smile. Seems to me the peace I search to find. Ain't going to be mine until you say you will. Don't you keep me waiting for that day. I know, I know, I know. You hear these words that I say. You can't always get what you want. (return to top).",291
374,"You put the boom boom into my heart. You sent my soul sky high. When your loving starts. A Jitterbug into my brain (yeah, yeah). It goes bang bang bang. Till my feet do the same. but something's bugging me. Something's ain't right. My best friend told me what. you did last night. Left me sleeping in my bed. I was dreaming but I should. have been with you instead. * Wake me up before you go-go. Don't leave me hanging on like a yoyo. Wake me up before you go-go. I don't wanna miss it when you hit that high. Wake me up before you go-go. 'Cause I'm not planning on going solo. Wake me up before you go-go. Take me dancing tonight. I wanna hit that high yeah yeah. You put the grey skies out of my way. You make the sun shine brighter than Doris Day. Turn the bright spark into a flame. My beats per minute never been the same. 'Cause you are my lady I'm your fool. It makes me crazy when you act so cool. Come on baby let's not fight. We'll go dancing. Everything will be alright. * Wake me up before you go-go. Don't leave me hanging on like a yoyo. Wake me up before you go-go. I don't wanna miss it when you hit that high. Wake me up before you go-go. 'Cause I'm not planning on going solo. Wake me up before you go-go. Take me dancing tonight. I wanna hit that high yeah yeah yeah. Cuddle up baby move in tight. We'll go dancing tomorrow night. It's cold out there but it's warm in bed. They can dance, we'll go home instead. * Wake me up before you go-go. Don't leave me hanging on like a yoyo. Wake me up before you go-go. I don't wanna miss it when you hit that high. Wake me up before you go-go. 'Cause I'm not planning on going solo. Wake me up before you go-go. Take me dancing tonight. Wake me up before you go go. don't you dare to leave me on like a yo yo yo. take me dancin'. boom boom boom.",362
375,"Hey, just too funky for me. I gotta get inside of you. And I'll show you heaven. If you let me.. Hey, just too funky for me. I've gotta get inside (I've gotta get inside) of you. So won't you let me.. I watch your fingers working overtime. I've got to thinking that they should be mine (oooh). I'd love to see you naked baby. I'd like to think that maybe tonight. If that's alright, yeah.. Hey, just too funky for me. I gotta get inside of you. Won't let you go, I won't let you no no. Hey just too funky for me. I gotta get inside of you. So won't you let me.. I watch you drinking and I take my time. I watch you sinking all that cheap red wine (ahhh). I've got to see you naked baby. I'd like to think that maybe tonight. My goal's in sight, yeah.. Baby, baby, baby why do you do this to me. Won't let you go (won't let you go). You're such a...you're such a ..... Baby, baby, baby, why do you do this to me. I've got to know (I've got to know). I'm gonna be the kind of lover that you never had. Hey, you're just too funky. You're never gonna have another lover in your bed.. You're just too funky for me.. Would you like me to seduce you?. Is that what you're trying to tell me?. Everybody wants to love like, baby. Everybody wants to love like that. Everybody, everybody. Everybody wants to love like that..",261
376,"If you say my singing is off key, my love. You would hurt my feelings, don't you see, my love ?. I wish I had an ear like yours,. A voice that would behave. All I have is feeling. And the voice God gave. You insist my music goes against the rules. Yes, but rules were never made for lovesick fools. I wrote this song for you. But you don't care. It's a crooked song, ah,. But my heart is there. The thing that you would see if you would play the part. Is even if I'm out of tune I have a gentle heart. I took your picture with my trusty Rolliflex. And now all I have developed is complex. Possibly in vain, I hope you weaken, oh my love. And forget those rigid rules that undermine my dream of. A life of love and music with someone who'll understand. That even though I may be out of tune when I attempt to say. How much I love you. And all that matters is the message that I bring,. Which is: my dear one, I love you.",188
377,"take my life. time has been twisting the knife. I don't recognise. people I care for. take my dreams. childish and weak at the seams. please don't analyse. please just be there for me. the things that I know. nobody told me. the seeds that are sown. they still control me. there's a liar in my head. there's a thief upon my bed. and the strangest thing. is I cannot get my eyes open. take my hand. lead me to some peaceful land. that I cannot find. inside my head. wake me with love. it's all I need. but in all this time. still no one said.... if I had not asked. would you have told me. if you call this love. why don't you hold me. there's a liar in my head. there's a thief upon my bed. and the strangest thing. is I cannot get my eyes open. give something I can hold. give me something to believe in. I am frightened for my soul, please, please. make love to me, send love through me. heal me with your crime. the only one who ever knew me,. we've wasted so much time. so much time.",197
378,"So you want to be free. To live your life the way you wanna be. Will you give if we cry. Will we live or will we die. Tainted hearts heal with time. Shoot bad love so we can. Stop the bleeding. Solitary brother, is there still a part of you that. Wants to live. Solitary sister, is there still a part of you that. Wants to give. Solitary brother, is there still a part of you that. Wants to live. Solitary sister, is there still a part of you that. Wants to give. If we try to live our lives. The way we wanna be. Solitary brother, is there still a part of you that. Wants to live. Solitary sister, is there still a part of you that. Wants to give. Solitary brother, is there still a part of you that. Wants to live. Solitary sister, is there still a part of you that. Wants to give. Racism in future kings can only lead to no good. And besides, all our sons and daughters already. Know that feels. It was the third of september. That day I?ll always remember, yes I will. Ã¥Â«Cause that was the day that my daddy died. Never had a chance to see him, no. Never heard nothin? but bad things about him. Mama, I?m depending on you to tell me the truth. Mama just hung her head and said. (). Papa was a rollin? stone. Wherever he laid his hat was his home. (And when he died). All he left us was alone (repeat). Hey, mama, is it true what they say. That papa never worked a day in his life. Some bad talks going around sayin?. Papa had three outside children. And anouther wife. That ain?t right. Heard some talks about papa and his storefront. Preachin?. Talkin? about saving souls and all the time. Leaching. And dealing in the dirt. Stealin? in the name of the lord. But mama she just said. (). Papa was a rollin? stone. Wherever he laid his hat was his home. (And when he died). All he left us was alone (repeat). Say, I heard my papa was a jack of all trades. Is that what sent papa to an early grave?. Folks say papa would bag, borrow of steal just. To pay his bills. Hey, mama, folks say papa was ever much on thinkin?. Spent most of this time chasin? women and drinkin?. But mouther, I?m depending on you to tell me the truth. But my mama she just said. ( 2x). Papa was a rollin? stone. Wherever he laid his hat was his home. (And when he died). All he left us was alone (repeat). But my mama she said. Papa was a rollin? stone. Oh my mama said. Wherever he laid his hat was his home. And when he died. All he left us was alone (repeat). All he left us. All he left us. Can you believe he left us?. All alone yeah. All alone yeah. All alone yeah. Yeah.",506
379,"There's things that you guess. And things that you know. There's boys you can trust. And girls that you don't. There's little things you hide. And little things that you show. Sometimes you think you're gonna get it. But you don't and that's just the way it goes. I swear I won't tease you. Won't tell you no lies. I don't need no bible. Just look in my eyes. I've waited so long baby. Now that we're friends. Every man's got his patience. And here's where mine ends. CHORUS. I want your sex. I want your love. I want your sex. I want your... sex. It's playin' on my mind. It's dancin' on my soul. It's takin' so much time. So why don't you just let me go. I'd really like to try. Oh, I'd really like to know. When you tell me you're gonna regret it. Then I tell you that i love you but you still say no. I swear I won't tease you. Won't tell you no lies. I don't need no bible. Just look in my eyes. I've waited so long baby. Out in the cold. I can't take much more girl. I'm losing control. CHORUS. I want your sex. I want your love. I want your sex. I want your... sex. It's natural. It's chemical. (Let's do it). It's logical. Habitual. (Can we do it?). It's sensual. But most of all. Sex is something that we should do. Sex is something for me and you. Sex is natural, sex is good. Not everybody does it, but everybody should. Sex is natural, sex is fun. Sex is best when it's (one on one). (One on one). (Huaah) (Sex). I'm not your father. (Huaah) (Sex). I'm not your brother. (Huuah) (Sex). Talk to your sister. (Huuah) (sex). I am a lover. (Huuah) (sex). (Huaah) (sex). (Huuah) (sex). C-C-C-C-C-C-C'mon. What's your definition of dirty baby. What do you consider pornography. Don't you know I love you 'til it hurts me baby. Don't you think it's time you had sex with me. What's your definition of dirty baby. What do you call pornography. Don't you know I love you 'til it hurts me baby. Don't you think it's time you had sex with me. Sex with me. Sex with me. MM, have sex with me. C-C-C-C-C-C-C'mon",387
380,"It's late. Time for bed. So I sit, and wait. For that gin and tonic. To go to your head. I know. It's a devious plan. But it's the only way that I know. To get those big bad car keys. Out of your hand. You know. That I remain a gentle man. But even so. There's only so much. A gentleman can stand. Sleep with me. Oh sleep with me tonight. My cards are on your table. My dreams are in your bed. If I was able. I'd be there instead.",92
381,"(you can't keep holding it in when it's something good). hey this won't take much time. we won't touch, we'll just wait for signs. and nothing was futher from my mind. than this moment with you. but if you'd only told me baby. I would have made some other plans. if I'd only seen it sooner. but what away with your hands you had. I wanted that moment with you. I know that is wrong. but ""if you need me, I'm here"", turns me on. I can't help thinking its a miracle you're here. I can't help thinking its a miracle. say, don't waste much time. we don't touch, do we baby?. but still my hands are tied. for that moment with you. but if you'd only told me baby. I would have made some other plans. if I'd only seen it sooner. but what away with your hands you had. I wanted that moment with you. you know that I'm strong. and I've no reason to fear, am I wrong?. I can't help thinking its a miracle you're here. I can't help thinking its a miracle. I can't help thinking its a american. I can't help thinking its a miracle. I can't help thinking its a miracle you're here. you can't keep holding it in when it's something good. get up, get up. you can't keep holding it in when it's something good. get up, get up. and who can you trust? dealing out justice. with a minimum of fuss. who baby.",253
382,"Move it move it, baby. Can't you see I'm ready to dance?. And I can't stop this rhythm in my heart.. Move it move it baby,. Can't you see I'm ready to dance?. Without this beat my life would fall apart.. Shuffle on your feet till the floor is hot,. Gonna make a lot of money,. Gonna break your heart.. Watch out boy, (watch out boy). Shuffle on your feet till the floor is hot,. Gonna make a lot of money,. Gonna break your heart.. But I'm the only one with a key.. And that's me.. Sometimes,. You wake up in the morning with the bass line,. A Ray of Sunshine,. Sometimes,. You know today you're gonna have a good time,. And you're ready to go.. Move it move it baby. Can't you see I'm ready to dance?. And I can't keep my rhythm in my heart.. Move it move it baby,. Can't you see I'm ready to dance?. Without this beat my life would fall apart.. Shuffle to the beat,. Gonna take a cut,. There's money in your feet,. Gimme what you got.. Watch out boy, (watch out boy). Suffle to the beat,. Gonna take a cut,. There's money in your feet,. Gonna stitch you up.. Any other boy that you see,. But not me.. Sometimes,. You wake up in the morning with the bass line,. A Ray of Sunshine,. Sometimes,. You know today you're gonna have a good time,. And you're ready to go.. Turn the music up,. Turn the music up, turn it up,. because it's all I've-. All that I've got.. Shuffle to the beat. Gonna take a cut,. There's money in your feet,. Gimme what you got.. Watch out boy, (watch out boy). Suffle to the beat,. Gonna take a cut,. There's money in your feet,. Gonna stitch you up.. Sometimes,. You wake up in the morning with the bass line,. A Ray of Sunshine,. Sometimes,. You know today you're gonna have a good time,. And you're ready to go..",335
383,"Captured effortlesly. That's the way it was.. It happens so naturely. I did not know it was love.. The next thing I felt was you. Holding me close. What was I gonna do. I let myself go.. And now we fly through the stars.. Want this night will last for ever.. I've been waiting for you. It's been so long.. I knew just what I would do when I heard your song.. I fill my heart with your kiss. It gave me freedom.. You knew I could not resist. I needed someone.. And now we're flying through the stars.. I hope this night lasts for ever.. Ain't nobody (NOBODY). Loves me better (LOVES ME BETTER). Makes me happy. Makes me feel this way (NOBODY). Ain't nobody (NOBODY). Loves me better (THAN YOU). I wait for nighttime to come to bring you to me.. Can't believe I'm the one. I was so lonely.. I feel like noone can feel. I must be dreamin'.. I want this dream to be real. I'm in this feeling.. I make my whish upon a star. And hope this night will last for ever.. Ain't nobody (NOBODY). Loves me better (LOVES ME BETTER). Makes me happy This way. Makes me feel this way (NOBODY). Ain't nobody (NOBODY BABY). Loves me better. Ain't nobody. Loves me better (THAN YOU). I wish you put your arms around me.. Yeah you put your arms around me.. I can't resist this sweet surrender.. Oh, my night's so warm and tender.. We stare into each others eyes.. And what we seek is no surprise.. I've got a feeling most would treasure..",270
